ID,Date,Time,Action,Price,Quantity,ETH_Balance,BTC_Balance,Total_Balance_ETH,Total_Balance_BTC,Consecutive_Count,Actual_Trade_Percentage
000001,220526,101500,BUY,0.063478,0.012551,0.512551,0.039039,1.127556,0.071575,0,0.020000
000002,220613,104500,BUY,0.049917,0.031283,0.543834,0.037478,1.294635,0.064624,1,0.040000
000003,220715,213000,SELL,0.059902,0.010877,0.532958,0.038129,1.169485,0.070054,0,0.020000
000004,220725,003000,SELL,0.072213,0.021318,0.511639,0.039669,1.060969,0.076616,1,0.040000
000005,231009,180000,BUY,0.057480,0.013803,0.525442,0.038875,1.201770,0.069078,0,0.020000
000006,240515,170000,BUY,0.045950,0.033841,0.559284,0.037320,1.371478,0.063019,1,0.040000
000007,240523,130000,SELL,0.055170,0.011186,0.548098,0.037937,1.235744,0.068176,0,0.020000
000008,240805,030000,BUY,0.042930,0.017674,0.565772,0.037179,1.431802,0.061467,0,0.020000
000009,241115,153000,BUY,0.034320,0.043332,0.609104,0.035692,1.649067,0.056596,1,0.040000
000010,250203,024500,BUY,0.026700,0.106941,0.716045,0.032836,1.945865,0.051955,2,0.080000
000011,250406,154500,BUY,0.021250,0.226128,0.942172,0.028031,2.261278,0.048052,3,0.146339
000012,250513,204500,SELL,0.025580,0.018843,0.923329,0.028513,2.037989,0.052132,0,0.020000
