ID,Date,Time,Action,Price,Quantity,ETH_Balance,BTC_Balance,Total_Balance_ETH,Total_Balance_BTC,Consecutive_Count,Actual_Trade_Percentage
000001,220526,101500,BUY,0.063478,0.112756,0.612756,0.032678,1.127556,0.071575,0,0.179674
000002,220613,104500,BUY,0.049917,0.126741,0.739497,0.026352,1.267412,0.063265,1,0.193600
000003,220715,213000,SELL,0.059902,0.117941,0.621555,0.033417,1.179415,0.070649,0,0.159489
000004,220725,003000,SELL,0.072213,0.108431,0.513124,0.041247,1.084310,0.078301,1,0.174451
000005,231009,180000,BUY,0.057480,0.123071,0.636196,0.034173,1.230713,0.070741,0,0.171507
000006,240515,170000,BUY,0.045950,0.137989,0.774185,0.027832,1.379893,0.063406,1,0.185545
000007,240523,130000,SELL,0.055170,0.127867,0.646318,0.034887,1.278667,0.070544,0,0.165163
000008,240805,030000,BUY,0.042930,0.145896,0.792214,0.028623,1.458959,0.062633,0,0.179533
000009,241115,153000,BUY,0.034320,0.162623,0.954837,0.023042,1.626228,0.055812,1,0.194988
000010,250203,024500,BUY,0.026700,0.181784,1.136621,0.018189,1.817839,0.048536,2,0.210641
000011,250406,154500,BUY,0.021250,0.199255,1.335876,0.013954,1.992551,0.042342,3,0.232794
000012,250513,204500,SELL,0.025580,0.188139,1.147737,0.018767,1.881394,0.048126,0,0.140836
