ID,Date,Time,Action,Price,Quantity,ETH_Balance,BTC_Balance,Total_Balance_ETH,Total_Balance_BTC,Consecutive_Count,Actual_Trade_Percentage
000001,220103,153000,SELL,0.081425,0.247309,0.252691,0.059973,0.989235,0.080548,0,0.494618
000002,220106,073000,BUY,0.079779,0.251108,0.503799,0.039940,1.004432,0.080133,0,0.334035
000003,220106,104500,BUY,0.077679,0.254492,0.758291,0.020171,1.017966,0.079075,1,0.494959
000004,220106,154500,SELL,0.079310,0.253156,0.505134,0.040249,1.012626,0.080311,0,0.333852
000005,220107,043000,BUY,0.077660,0.255852,0.760986,0.020380,1.023408,0.079478,0,0.493662
000006,220107,080000,BUY,0.075584,0.257654,1.018640,0.000905,1.030616,0.077898,1,0.955584
000007,220108,194500,BUY,0.073983,0.012235,1.030875,0.000000,1.030875,0.076267,2,1.000000
000008,220109,194500,SELL,0.075526,0.257719,0.773156,0.019464,1.030875,0.077858,0,0.250000
000009,220110,141500,BUY,0.073913,0.259125,1.032281,0.000312,1.036499,0.076611,0,0.983982
000010,220111,170000,SELL,0.075560,0.259102,0.773179,0.019890,1.036407,0.078311,0,0.250999
000011,220112,161500,SELL,0.077088,0.257797,0.515382,0.039763,1.031190,0.079492,1,0.333425
000012,220118,054500,BUY,0.075540,0.260440,0.775822,0.020089,1.041760,0.078695,0,0.494777
000013,220119,083000,BUY,0.074016,0.261809,1.037631,0.000711,1.047236,0.077512,1,0.964612
000014,220121,040000,BUY,0.072468,0.009810,1.047441,0.000000,1.047441,0.075906,2,1.000000
000015,220123,094500,SELL,0.070307,0.261860,0.785581,0.018411,1.047441,0.073642,0,0.250000
000016,220123,154500,BUY,0.068888,0.263209,1.048789,0.000279,1.052835,0.072528,0,0.984863
000017,220125,133000,SELL,0.066960,0.263238,0.785552,0.017905,1.052951,0.070506,0,0.250992
000018,220126,143000,SELL,0.068454,0.261779,0.523773,0.035825,1.047115,0.071679,1,0.333242
000019,220126,223000,BUY,0.067043,0.264532,0.788305,0.018090,1.058130,0.070940,0,0.495048
000020,220127,220000,BUY,0.065156,0.266486,1.054791,0.000727,1.065944,0.069453,1,0.959829
000021,220128,171500,SELL,0.066468,0.266431,0.788360,0.018436,1.065724,0.070837,0,0.252591
000022,220129,010000,SELL,0.067839,0.265030,0.523331,0.036415,1.060119,0.071917,1,0.336178
000023,220131,161500,SELL,0.069408,0.261996,0.261334,0.054600,1.047984,0.072738,2,0.500632
000024,220201,040000,SELL,0.071115,0.257276,0.004059,0.072896,1.029102,0.073185,3,0.984468
000025,220203,130000,BUY,0.070971,0.257795,0.261854,0.054600,1.031182,0.073184,0,0.250988
000026,220204,060000,SELL,0.072478,0.253796,0.008058,0.072995,1.015186,0.073579,0,0.969227
000027,220204,083000,SELL,0.074018,0.008058,0.000000,0.073591,0.994232,0.073591,1,1.000000
000028,220204,231500,BUY,0.072531,0.253654,0.253654,0.055193,1.014615,0.073591,0,0.250000
000029,220208,064500,BUY,0.070969,0.257841,0.511495,0.036895,1.031363,0.073195,1,0.331539
000030,220209,143000,SELL,0.072399,0.255274,0.256221,0.055376,1.021095,0.073926,0,0.499074
000031,220210,171500,BUY,0.070710,0.259841,0.516062,0.037003,1.039365,0.073494,0,0.331792
000032,220211,211500,BUY,0.069078,0.262932,0.778994,0.018840,1.051728,0.072651,1,0.490851
000033,220215,150000,SELL,0.070504,0.261553,0.517441,0.037280,1.046212,0.073762,0,0.335757
000034,220218,094500,SELL,0.071917,0.258956,0.258485,0.055904,1.035823,0.074493,1,0.500455
000035,220218,154500,BUY,0.070421,0.263084,0.521570,0.037377,1.052337,0.074107,0,0.331402
000036,220219,123000,BUY,0.068408,0.266989,0.788558,0.019113,1.067955,0.073057,1,0.488645
000037,220221,050000,SELL,0.069789,0.265607,0.522952,0.037649,1.062426,0.074146,0,0.336826
000038,220222,064500,BUY,0.068149,0.268852,0.791804,0.019327,1.075409,0.073288,0,0.486648
000039,220222,161500,SELL,0.069566,0.267408,0.524396,0.037930,1.069632,0.074410,0,0.337720
000040,220224,050000,BUY,0.068014,0.270518,0.794914,0.019531,1.082074,0.073596,0,0.485080
000041,220224,194500,SELL,0.069379,0.269106,0.525808,0.038201,1.076424,0.074681,0,0.338535
000042,220224,233000,BUY,0.067941,0.272019,0.797828,0.019720,1.088078,0.073925,0,0.483788
000043,220225,164500,SELL,0.069340,0.270555,0.527272,0.038480,1.082222,0.075041,0,0.339115
000044,220225,234500,SELL,0.070818,0.267660,0.259612,0.057435,1.070640,0.075821,1,0.507631
000045,220227,203000,BUY,0.069194,0.272419,0.532031,0.038586,1.089675,0.075399,0,0.328191
000046,220228,211500,BUY,0.067780,0.275327,0.807358,0.019924,1.101308,0.074647,1,0.483643
000047,220301,130000,BUY,0.066302,0.276965,1.084323,0.001561,1.107861,0.073453,2,0.921673
000048,220301,144500,SELL,0.067970,0.276821,0.807503,0.020376,1.107283,0.075262,0,0.255294
000049,220302,011500,BUY,0.066549,0.278421,1.085924,0.001847,1.113684,0.074115,0,0.909333
000050,220302,044500,SELL,0.068050,0.278268,0.807656,0.020784,1.113072,0.075745,0,0.256250
000051,220303,144500,BUY,0.066610,0.279919,1.087574,0.002138,1.119675,0.074582,0,0.897121
000052,220306,113000,SELL,0.068029,0.279751,0.807823,0.021169,1.119005,0.076125,0,0.257225
000053,220307,001500,BUY,0.066605,0.281415,1.089238,0.002426,1.125658,0.074974,0,0.885411
000054,220309,050000,BUY,0.065058,0.037287,1.126524,0.000000,1.126524,0.073289,1,1.000000
000055,220310,103000,SELL,0.066444,0.281631,0.844893,0.018713,1.126524,0.074851,0,0.250000
000056,220317,094500,SELL,0.067859,0.280163,0.564730,0.037724,1.120652,0.076046,1,0.331596
000057,220317,203000,SELL,0.069222,0.277426,0.287304,0.056928,1.109705,0.076816,2,0.491255
000058,220318,161500,SELL,0.070745,0.273000,0.014304,0.076242,1.092001,0.077254,3,0.950214
000059,220320,140000,BUY,0.069306,0.278594,0.292898,0.056933,1.114377,0.077233,0,0.253251
000060,220321,140000,SELL,0.070799,0.274263,0.018635,0.076351,1.097054,0.077670,0,0.936379
000061,220329,130000,SELL,0.072259,0.018635,0.000000,0.077698,1.075264,0.077698,1,1.000000
000062,220406,020000,BUY,0.073618,0.263854,0.263854,0.058273,1.055414,0.077698,0,0.250000
000063,220408,094500,SELL,0.075092,0.259969,0.003884,0.077795,1.039877,0.078086,0,0.985278
000064,220411,100000,BUY,0.075000,0.260287,0.264171,0.058273,1.041148,0.078086,0,0.250936
000065,220421,214500,BUY,0.073427,0.264448,0.528619,0.038856,1.057792,0.077671,1,0.333217
000066,220422,181500,SELL,0.075006,0.261663,0.266956,0.058482,1.046652,0.078505,0,0.494993
000067,220425,030000,BUY,0.073385,0.265969,0.532925,0.038964,1.063875,0.078072,0,0.333746
000068,220425,214500,SELL,0.074892,0.263298,0.269627,0.058683,1.053191,0.078876,0,0.494062
000069,220427,161500,BUY,0.073370,0.267361,0.536989,0.039066,1.069446,0.078465,0,0.334278
000070,220505,201500,SELL,0.075132,0.264240,0.272749,0.058919,1.056958,0.079411,0,0.492077
000071,220508,080000,BUY,0.073606,0.268304,0.541053,0.039170,1.073217,0.078995,0,0.335184
000072,220510,033000,SELL,0.075108,0.265644,0.275410,0.059122,1.062574,0.079808,0,0.490975
000073,220511,113000,SELL,0.076695,0.261572,0.013838,0.079184,1.046286,0.080245,1,0.949755
000074,220511,143000,BUY,0.075157,0.266854,0.280692,0.059128,1.067414,0.080224,0,0.253284
000075,220511,170000,BUY,0.073648,0.270883,0.551575,0.039178,1.083533,0.079800,1,0.337406
000076,220511,213000,BUY,0.072011,0.273907,0.825482,0.019453,1.095626,0.078897,2,0.503457
000077,220512,051500,BUY,0.070447,0.275406,1.100887,0.000052,1.101624,0.077606,3,0.997334
