ID,Date,Time,Action,Price,Quantity,ETH_Balance,BTC_Balance,Total_Balance_ETH,Total_Balance_BTC,Consecutive_Count,Actual_Trade_Percentage
000001,220103,153000,SELL,0.081425,0.025000,0.475000,0.041872,0.989235,0.080548,0,0.050000
000002,220106,073000,BUY,0.079779,0.026242,0.501242,0.039778,0.999845,0.079767,0,0.050000
000003,220106,104500,BUY,0.077679,0.025604,0.526846,0.037789,1.013325,0.078714,1,0.050000
000004,220106,154500,SELL,0.079310,0.026342,0.500504,0.039878,1.003320,0.079573,0,0.050000
000005,220107,043000,BUY,0.077660,0.025675,0.526179,0.037884,1.014003,0.078747,0,0.050000
000006,220107,080000,BUY,0.075584,0.025061,0.551240,0.035990,1.027402,0.077655,1,0.050000
000007,220108,194500,BUY,0.073983,0.024323,0.575563,0.034191,1.037706,0.076773,2,0.050000
000008,220109,194500,SELL,0.075526,0.028778,0.546785,0.036364,1.028265,0.077661,0,0.050000
000009,220110,141500,BUY,0.073913,0.024599,0.571385,0.034546,1.038772,0.076779,0,0.050000
000010,220111,170000,SELL,0.075560,0.028569,0.542815,0.036705,1.028584,0.077720,0,0.050000
000011,220112,161500,SELL,0.077088,0.027141,0.515675,0.038797,1.018955,0.078549,1,0.050000
000012,220118,054500,BUY,0.075540,0.025680,0.541354,0.036857,1.029269,0.077751,0,0.050000
000013,220119,083000,BUY,0.074016,0.024898,0.566252,0.035014,1.039315,0.076926,1,0.050000
000014,220121,040000,BUY,0.072468,0.024158,0.590411,0.033264,1.049420,0.076049,2,0.050000
000015,220121,223000,BUY,0.070360,0.023638,0.614049,0.031600,1.063172,0.074805,3,0.050000
000016,220122,103000,BUY,0.068814,0.022961,0.637010,0.030020,1.073262,0.073855,4,0.050000
000017,220123,094500,SELL,0.070307,0.031850,0.605159,0.032260,1.063998,0.074807,0,0.050000
000018,220123,154500,BUY,0.068888,0.023415,0.628574,0.030647,1.073450,0.073948,0,0.050000
000019,220124,110000,BUY,0.067168,0.022813,0.651387,0.029114,1.084842,0.072867,1,0.050000
000020,220124,133000,BUY,0.065528,0.022215,0.673602,0.027659,1.095690,0.071798,2,0.050000
000021,220125,133000,SELL,0.066960,0.033680,0.639922,0.029914,1.086664,0.072763,0,0.050000
000022,220126,143000,SELL,0.068454,0.031996,0.607926,0.032104,1.076914,0.073719,1,0.050000
000023,220126,223000,BUY,0.067043,0.023943,0.631869,0.030499,1.086784,0.072861,0,0.050000
000024,220127,220000,BUY,0.065156,0.023404,0.655273,0.028974,1.099959,0.071669,1,0.050000
000025,220128,171500,SELL,0.066468,0.032764,0.622510,0.031152,1.091181,0.072529,0,0.050000
000026,220129,010000,SELL,0.067839,0.031125,0.591384,0.033263,1.081710,0.073382,1,0.050000
000027,220131,161500,SELL,0.069408,0.029569,0.561815,0.035316,1.070626,0.074310,2,0.050000
000028,220201,040000,SELL,0.071115,0.028091,0.533724,0.037313,1.058412,0.075269,3,0.050000
000029,220202,214500,SELL,0.072620,0.026686,0.507038,0.039251,1.047539,0.076072,4,0.050000
000030,220203,130000,BUY,0.070971,0.027653,0.534691,0.037289,1.060097,0.075236,0,0.050000
000031,220204,060000,SELL,0.072478,0.026735,0.507956,0.039226,1.049173,0.076042,0,0.050000
000032,220204,083000,SELL,0.074018,0.025398,0.482559,0.041106,1.037912,0.076824,1,0.050000
000033,220204,231500,BUY,0.072531,0.028337,0.510896,0.039051,1.049298,0.076107,0,0.050000
000034,220208,064500,BUY,0.070969,0.027513,0.538408,0.037098,1.061148,0.075309,1,0.050000
000035,220209,143000,SELL,0.072399,0.026920,0.511488,0.039047,1.050823,0.076079,0,0.050000
