ID,Date,Time,Action,Price,Quantity,ETH_Balance,BTC_Balance,Total_Balance_ETH,Total_Balance_BTC,Consecutive_Count,Actual_Trade_Percentage
000001,220103,153000,SELL,0.081425,0.494618,0.005382,0.080110,0.989235,0.080548,0,0.989235
000002,220106,073000,BUY,0.079779,0.504767,0.510149,0.039840,1.009534,0.080540,0,0.502680
000003,220106,104500,BUY,0.077679,0.511517,1.021667,0.000106,1.023035,0.079468,1,0.997333
000004,220106,154500,SELL,0.079310,0.511503,0.510163,0.040674,1.023007,0.081135,0,0.500656
000005,220107,043000,BUY,0.077660,0.516951,1.027115,0.000527,1.033903,0.080293,0,0.987039
000006,220107,080000,BUY,0.075584,0.006974,1.034089,0.000000,1.034089,0.078161,1,1.000000
000007,220109,194500,SELL,0.075526,0.517045,0.517045,0.039050,1.034089,0.078101,0,0.500000
000008,220110,141500,BUY,0.073913,0.522686,1.039731,0.000417,1.045373,0.077267,0,0.989322
000009,220111,170000,SELL,0.075560,0.522625,0.517106,0.039907,1.045250,0.078979,0,0.502654
000010,220112,161500,SELL,0.077088,0.517106,0.000000,0.079769,1.034781,0.079769,1,1.000000
000011,220118,054500,BUY,0.075540,0.527993,0.527993,0.039885,1.055986,0.079769,0,0.500000
000012,220119,083000,BUY,0.074016,0.533429,1.061422,0.000402,1.066858,0.078965,1,0.989913
000013,220121,040000,BUY,0.072468,0.005552,1.066974,0.000000,1.066974,0.077321,2,1.000000
000014,220123,094500,SELL,0.070307,0.533487,0.533487,0.037508,1.066974,0.075016,0,0.500000
000015,220123,154500,BUY,0.068888,0.538982,1.072468,0.000379,1.077963,0.074259,0,0.989909
000016,220124,110000,BUY,0.067168,0.005635,1.078104,0.000000,1.078104,0.072414,1,1.000000
000017,220125,133000,SELL,0.066960,0.539052,0.539052,0.036095,1.078104,0.072190,0,0.500000
000018,220126,143000,SELL,0.068454,0.533170,0.005882,0.072592,1.066339,0.072995,1,0.989088
000019,220126,223000,BUY,0.067043,0.544329,0.550211,0.036099,1.088658,0.072987,0,0.502716
000020,220127,220000,BUY,0.065156,0.552126,1.102337,0.000125,1.104252,0.071949,1,0.996544
000021,220128,171500,SELL,0.066468,0.552107,0.550230,0.036822,1.104214,0.073395,0,0.500851
000022,220129,010000,SELL,0.067839,0.546509,0.003721,0.073897,1.093018,0.074149,1,0.993237
000023,220131,161500,SELL,0.069408,0.003721,0.000000,0.074155,1.068394,0.074155,2,1.000000
