ID,Date,Time,Action,Price,Quantity,ETH_Balance,BTC_Balance,Total_Balance_ETH,Total_Balance_BTC,Consecutive_Count,Actual_Trade_Percentage
000001,220526,101500,BUY,0.063478,0.062756,0.562756,0.035852,1.127556,0.071575,0,0.100000
000002,220613,104500,BUY,0.049917,0.143648,0.706404,0.028682,1.280996,0.063943,1,0.200000
000003,220715,213000,SELL,0.059902,0.070640,0.635763,0.032913,1.185218,0.070997,0,0.100000
000004,220725,003000,SELL,0.072213,0.127153,0.508611,0.042095,1.091546,0.078824,1,0.200000
000005,231009,180000,BUY,0.057480,0.073235,0.581846,0.037886,1.240961,0.071330,0,0.100000
000006,240515,170000,BUY,0.045950,0.164901,0.746746,0.030309,1.406349,0.064622,1,0.200000
000007,240523,130000,SELL,0.055170,0.074675,0.672072,0.034429,1.296117,0.071507,0,0.100000
000008,240805,030000,BUY,0.042930,0.080197,0.752269,0.030986,1.474041,0.063281,0,0.100000
000009,241115,153000,BUY,0.034320,0.180569,0.932838,0.024789,1.655115,0.056804,1,0.200000
000010,250203,024500,BUY,0.026700,0.371364,1.304202,0.014873,1.861249,0.049695,2,0.400000
000011,250406,154500,BUY,0.021250,0.559930,1.864132,0.002975,2.004115,0.042587,3,0.800000
000012,250513,204500,SELL,0.025580,0.186413,1.677719,0.007743,1.980419,0.050659,0,0.100000
