ID,Date,Time,Action,Price,Quantity,ETH_Balance,BTC_Balance,Total_Balance_ETH,Total_Balance_BTC,Consecutive_Count,Actual_Trade_Percentage
000001,220121,211500,BUY,0.071665,0.011117,0.511117,0.039039,1.055864,0.075668,0,0.020000
000002,220309,200000,BUY,0.064345,0.012134,0.523252,0.038258,1.117835,0.071927,1,0.020000
000003,220526,101500,BUY,0.063478,0.012054,0.535306,0.037493,1.125956,0.071473,0,0.020000
000004,220611,013000,BUY,0.057088,0.013135,0.548441,0.036743,1.192069,0.068053,1,0.020000
000005,220613,100000,BUY,0.051274,0.014332,0.562773,0.036009,1.265051,0.064864,2,0.020000
000006,220716,180000,SELL,0.064807,0.011255,0.551518,0.036738,1.118401,0.072480,1,0.020000
000007,220724,133000,SELL,0.071361,0.011030,0.540487,0.037525,1.066337,0.076095,2,0.020000
000008,220811,224500,SELL,0.078575,0.010810,0.529678,0.038375,1.018059,0.079994,3,0.020000
000009,220918,183000,BUY,0.070623,0.010867,0.540545,0.037607,1.073049,0.075782,0,0.020000
000010,221029,101500,SELL,0.077850,0.010811,0.529734,0.038449,1.023616,0.079688,0,0.020000
000011,221109,083000,BUY,0.069892,0.011002,0.540736,0.037680,1.079850,0.075473,0,0.020000
000012,230109,163000,SELL,0.077016,0.010815,0.529922,0.038513,1.029982,0.079325,0,0.020000
000013,230124,231500,BUY,0.068152,0.011302,0.541224,0.037742,1.095020,0.074628,0,0.020000
000014,230626,201500,BUY,0.061320,0.012310,0.553534,0.036988,1.156722,0.070930,1,0.020000
000015,231017,170000,BUY,0.055170,0.013409,0.566942,0.036248,1.223962,0.067526,2,0.020000
000016,240109,000000,BUY,0.049600,0.014616,0.581558,0.035523,1.297744,0.064368,3,0.020000
000017,240126,124500,BUY,0.054600,0.013012,0.594570,0.034812,1.232159,0.067276,0,0.020000
000018,240225,224500,SELL,0.060070,0.011891,0.582679,0.035527,1.174100,0.070528,0,0.020000
000019,240229,003000,BUY,0.054010,0.013156,0.595834,0.034816,1.240458,0.066997,0,0.020000
000020,240405,013000,BUY,0.048600,0.014328,0.610162,0.034120,1.312216,0.063774,1,0.020000
000021,240725,210000,BUY,0.048210,0.014155,0.624317,0.033437,1.317895,0.063536,0,0.020000
000022,240805,030000,BUY,0.042930,0.015578,0.639894,0.032769,1.403199,0.060239,1,0.020000
000023,240918,023000,BUY,0.038560,0.016996,0.656891,0.032113,1.489704,0.057443,2,0.020000
000024,241106,044500,BUY,0.034700,0.018509,0.675400,0.031471,1.582346,0.054907,3,0.020000
000025,241115,151500,BUY,0.034370,0.018313,0.693713,0.030842,1.591054,0.054685,0,0.020000
000026,241220,110000,BUY,0.033540,0.018391,0.712104,0.030225,1.613260,0.054109,0,0.020000
000027,250113,153000,BUY,0.033100,0.018263,0.730366,0.029620,1.625239,0.053795,0,0.020000
000028,250202,233000,BUY,0.029270,0.020239,0.750606,0.029028,1.742333,0.050998,1,0.020000
000029,250203,030000,BUY,0.026090,0.022252,0.772858,0.028447,1.863211,0.048611,2,0.020000
000030,250301,120000,BUY,0.025800,0.022052,0.794910,0.027878,1.875467,0.048387,0,0.020000
000031,250311,140000,BUY,0.023190,0.024043,0.818953,0.027321,1.997082,0.046312,1,0.020000
000032,250406,191500,BUY,0.020830,0.026232,0.845186,0.026774,2.130562,0.044380,2,0.020000
000033,250409,031500,BUY,0.018720,0.028605,0.873791,0.026239,2.275441,0.042596,3,0.020000
000034,250518,214500,BUY,0.023190,0.022629,0.896420,0.025714,2.005265,0.046502,0,0.020000
