ID,Date,Time,Action,Price,Quantity,ETH_Balance,BTC_Balance,Total_Balance_ETH,Total_Balance_BTC,Consecutive_Count,Actual_Trade_Percentage
000001,220103,153000,SELL,0.081425,0.010000,0.490000,0.040650,0.989235,0.080548,0,0.020000
000002,220106,073000,BUY,0.079779,0.010191,0.500191,0.039837,0.999536,0.079742,0,0.020000
000003,220106,104500,BUY,0.077679,0.010257,0.510448,0.039041,1.013035,0.078692,1,0.020000
000004,220106,154500,SELL,0.079310,0.010209,0.500239,0.039850,1.002700,0.079524,0,0.020000
000005,220107,043000,BUY,0.077660,0.010263,0.510501,0.039053,1.013375,0.078699,0,0.020000
000006,220107,080000,BUY,0.075584,0.010334,0.520835,0.038272,1.027187,0.077639,1,0.020000
000007,220108,194500,BUY,0.073983,0.010346,0.531181,0.037507,1.038145,0.076805,2,0.020000
000008,220109,194500,SELL,0.075526,0.010624,0.520558,0.038309,1.027787,0.077625,0,0.020000
000009,220110,141500,BUY,0.073913,0.010366,0.530924,0.037543,1.038857,0.076785,0,0.020000
000010,220111,170000,SELL,0.075560,0.010618,0.520305,0.038345,1.027785,0.077659,0,0.020000
000011,220112,161500,SELL,0.077088,0.010406,0.509899,0.039147,1.017726,0.078454,1,0.020000
000012,220118,054500,BUY,0.075540,0.010365,0.520264,0.038364,1.028133,0.077665,0,0.020000
000013,220119,083000,BUY,0.074016,0.010367,0.530630,0.037597,1.038590,0.076872,1,0.020000
000014,220121,040000,BUY,0.072468,0.010376,0.541006,0.036845,1.049440,0.076051,2,0.020000
000015,220121,223000,BUY,0.070360,0.010473,0.551480,0.036108,1.064673,0.074910,3,0.020000
000016,220122,103000,BUY,0.068814,0.010494,0.561974,0.035386,1.076203,0.074058,4,0.020000
000017,220123,094500,SELL,0.070307,0.011239,0.550735,0.036176,1.065283,0.074897,0,0.020000
000018,220123,154500,BUY,0.068888,0.010503,0.561238,0.035453,1.075882,0.074115,0,0.020000
000019,220124,110000,BUY,0.067168,0.010556,0.571794,0.034744,1.089060,0.073150,1,0.020000
000020,220124,133000,BUY,0.065528,0.010604,0.582398,0.034049,1.102006,0.072212,2,0.020000
000021,220125,133000,SELL,0.066960,0.011648,0.570750,0.034829,1.090894,0.073046,0,0.020000
000022,220126,143000,SELL,0.068454,0.011415,0.559335,0.035610,1.079542,0.073899,1,0.020000
000023,220126,223000,BUY,0.067043,0.010623,0.569959,0.034898,1.090490,0.073110,0,0.020000
000024,220127,220000,BUY,0.065156,0.010712,0.580671,0.034200,1.105566,0.072034,1,0.020000
000025,220128,171500,SELL,0.066468,0.011613,0.569057,0.034972,1.095205,0.072796,0,0.020000
000026,220129,010000,SELL,0.067839,0.011381,0.557676,0.035744,1.084572,0.073576,1,0.020000
000027,220131,161500,SELL,0.069408,0.011154,0.546523,0.036518,1.072661,0.074451,2,0.020000
000028,220201,040000,SELL,0.071115,0.010930,0.535592,0.037296,1.060032,0.075384,3,0.020000
000029,220202,214500,SELL,0.072620,0.010712,0.524880,0.038073,1.049163,0.076190,4,0.020000
000030,220203,130000,BUY,0.070971,0.010729,0.535610,0.037312,1.061345,0.075325,0,0.020000
000031,220204,060000,SELL,0.072478,0.010712,0.524897,0.038088,1.050413,0.076132,0,0.020000
000032,220204,083000,SELL,0.074018,0.010498,0.514399,0.038865,1.039480,0.076940,1,0.020000
000033,220204,231500,BUY,0.072531,0.010717,0.525116,0.038088,1.050245,0.076175,0,0.020000
000034,220208,064500,BUY,0.070969,0.010734,0.535850,0.037326,1.061802,0.075355,1,0.020000
000035,220209,143000,SELL,0.072399,0.010717,0.525133,0.038102,1.051414,0.076121,0,0.020000
000036,220210,171500,BUY,0.070710,0.010777,0.535910,0.037340,1.063985,0.075234,0,0.020000
000037,220211,211500,BUY,0.069078,0.010811,0.546721,0.036593,1.076461,0.074360,1,0.020000
000038,220215,150000,SELL,0.070504,0.010934,0.535787,0.037364,1.065747,0.075139,0,0.020000
000039,220218,094500,SELL,0.071917,0.010716,0.525071,0.038135,1.055334,0.075896,1,0.020000
000040,220218,154500,BUY,0.070421,0.010831,0.535902,0.037372,1.066599,0.075111,0,0.020000
000041,220219,123000,BUY,0.068408,0.010926,0.546828,0.036625,1.082215,0.074032,1,0.020000
000042,220221,050000,SELL,0.069789,0.010937,0.535891,0.037388,1.071621,0.074787,0,0.020000
000043,220222,064500,BUY,0.068149,0.010972,0.546864,0.036640,1.084513,0.073908,0,0.020000
000044,220222,161500,SELL,0.069566,0.010937,0.535926,0.037401,1.073562,0.074683,0,0.020000
000045,220224,050000,BUY,0.068014,0.010998,0.546924,0.036653,1.085830,0.073852,0,0.020000
000046,220224,194500,SELL,0.069379,0.010938,0.535986,0.037412,1.075227,0.074598,0,0.020000
000047,220224,233000,BUY,0.067941,0.011013,0.546999,0.036664,1.086641,0.073827,0,0.020000
000048,220225,164500,SELL,0.069340,0.010940,0.536059,0.037422,1.075753,0.074593,0,0.020000
000049,220225,234500,SELL,0.070818,0.010721,0.525338,0.038182,1.064489,0.075385,1,0.020000
000050,220227,203000,BUY,0.069194,0.011036,0.536374,0.037418,1.077143,0.074532,0,0.020000
000051,220228,211500,BUY,0.067780,0.011041,0.547415,0.036670,1.088424,0.073773,1,0.020000
000052,220301,130000,BUY,0.066302,0.011061,0.558476,0.035936,1.100485,0.072964,2,0.020000
000053,220301,144500,SELL,0.067970,0.011170,0.547307,0.036695,1.087184,0.073896,0,0.020000
000054,220302,011500,BUY,0.066549,0.011028,0.558335,0.035962,1.098711,0.073118,0,0.020000
000055,220302,044500,SELL,0.068050,0.011167,0.547168,0.036721,1.086792,0.073956,0,0.020000
000056,220303,144500,BUY,0.066610,0.011026,0.558194,0.035987,1.098458,0.073168,0,0.020000
000057,220306,113000,SELL,0.068029,0.011164,0.547030,0.036746,1.087189,0.073960,0,0.020000
000058,220307,001500,BUY,0.066605,0.011034,0.558064,0.036012,1.098737,0.073181,0,0.020000
000059,220309,050000,BUY,0.065058,0.011071,0.569135,0.035291,1.111594,0.072318,1,0.020000
000060,220310,103000,SELL,0.066444,0.011383,0.557752,0.036048,1.100278,0.073107,0,0.020000
000061,220317,094500,SELL,0.067859,0.011155,0.546597,0.036805,1.088965,0.073896,1,0.020000
000062,220317,203000,SELL,0.069222,0.010932,0.535665,0.037561,1.078286,0.074641,2,0.020000
000063,220318,161500,SELL,0.070745,0.010713,0.524952,0.038319,1.066605,0.075457,3,0.020000
000064,220320,140000,BUY,0.069306,0.011058,0.536010,0.037553,1.077851,0.074702,0,0.020000
000065,220321,140000,SELL,0.070799,0.010720,0.525290,0.038312,1.066425,0.075502,0,0.020000
000066,220329,130000,SELL,0.072259,0.010506,0.514784,0.039071,1.055491,0.076269,1,0.020000
000067,220401,153000,SELL,0.073747,0.010296,0.504488,0.039830,1.044581,0.077035,2,0.020000
000068,220402,200000,SELL,0.075324,0.010090,0.494398,0.040590,1.033273,0.077830,3,0.020000
000069,220406,020000,BUY,0.073618,0.011027,0.505426,0.039778,1.045761,0.076987,0,0.020000
000070,220408,094500,SELL,0.075092,0.010109,0.495317,0.040537,1.035155,0.077732,0,0.020000
000071,220410,184500,SELL,0.076606,0.009906,0.485411,0.041296,1.024486,0.078482,1,0.020000
000072,220411,100000,BUY,0.075000,0.011012,0.496423,0.040470,1.036029,0.077702,0,0.020000
000073,220421,214500,BUY,0.073427,0.011023,0.507447,0.039661,1.047589,0.076921,1,0.020000
000074,220422,181500,SELL,0.075006,0.010149,0.497298,0.040422,1.036218,0.077723,0,0.020000
000075,220425,030000,BUY,0.073385,0.011016,0.508314,0.039614,1.048122,0.076916,0,0.020000
000076,220425,214500,SELL,0.074892,0.010166,0.498148,0.040375,1.037260,0.077682,0,0.020000
000077,220427,161500,BUY,0.073370,0.011006,0.509154,0.039568,1.048443,0.076924,0,0.020000
000078,220505,201500,SELL,0.075132,0.010183,0.498971,0.040333,1.035796,0.077821,0,0.020000
000079,220508,080000,BUY,0.073606,0.010959,0.509930,0.039526,1.046926,0.077060,0,0.020000
000080,220510,033000,SELL,0.075108,0.010199,0.499731,0.040292,1.036187,0.077826,0,0.020000
000081,220511,113000,SELL,0.076695,0.009995,0.489737,0.041059,1.025086,0.078619,1,0.020000
000082,220511,143000,BUY,0.075157,0.010926,0.500663,0.040237,1.036042,0.077866,0,0.020000
000083,220511,170000,BUY,0.073648,0.010927,0.511590,0.039433,1.047011,0.077110,1,0.020000
000084,220511,213000,BUY,0.072011,0.010952,0.522541,0.038644,1.059183,0.076273,2,0.020000
000085,220512,051500,BUY,0.070447,0.010971,0.533513,0.037871,1.071097,0.075456,3,0.020000
000086,220512,060000,BUY,0.068978,0.010981,0.544493,0.037114,1.082545,0.074672,4,0.020000
000087,220512,070000,BUY,0.067259,0.011036,0.555529,0.036371,1.096297,0.073736,5,0.020000
000088,220512,083000,SELL,0.068630,0.011111,0.544419,0.037134,1.085494,0.074497,0,0.020000
000089,220512,090000,BUY,0.066476,0.011172,0.555591,0.036391,1.103026,0.073325,0,0.020000
000090,220512,094500,SELL,0.068041,0.011112,0.544479,0.037147,1.090435,0.074194,0,0.020000
000091,220513,200000,SELL,0.069402,0.010890,0.533589,0.037903,1.079729,0.074935,1,0.020000
000092,220514,213000,BUY,0.067941,0.011158,0.544747,0.037145,1.091473,0.074156,0,0.020000
000093,220519,034500,BUY,0.066368,0.011194,0.555941,0.036402,1.104431,0.073299,1,0.020000
000094,220523,091500,SELL,0.067737,0.011119,0.544822,0.037155,1.093345,0.074060,0,0.020000
000095,220525,100000,BUY,0.066331,0.011203,0.556025,0.036412,1.104972,0.073294,0,0.020000
000096,220526,073000,BUY,0.064944,0.011213,0.567238,0.035684,1.116696,0.072523,1,0.020000
000097,220526,101500,BUY,0.063478,0.011243,0.578481,0.034970,1.129386,0.071691,2,0.020000
000098,220526,150000,BUY,0.061641,0.011346,0.589828,0.034271,1.145803,0.070628,3,0.020000
000099,220526,160000,SELL,0.062932,0.011797,0.578031,0.035013,1.134398,0.071390,0,0.020000
000100,220527,010000,BUY,0.061652,0.011358,0.589390,0.034313,1.145949,0.070650,0,0.020000
000101,220527,034500,BUY,0.060187,0.011402,0.600792,0.033627,1.159496,0.069787,1,0.020000
000102,220527,091500,SELL,0.061459,0.012016,0.588776,0.034365,1.147933,0.070551,0,0.020000
000103,220528,011500,BUY,0.059968,0.011461,0.600237,0.033678,1.161835,0.069673,0,0.020000
000104,220528,054500,SELL,0.061251,0.012005,0.588232,0.034413,1.150072,0.070443,0,0.020000
000105,220530,161500,SELL,0.062494,0.011765,0.576468,0.035148,1.138897,0.071174,1,0.020000
000106,220531,191500,BUY,0.061178,0.011491,0.587958,0.034445,1.150995,0.070416,0,0.020000
000107,220603,044500,BUY,0.059953,0.011491,0.599449,0.033757,1.162500,0.069695,1,0.020000
000108,220607,023000,BUY,0.057968,0.011647,0.611096,0.033081,1.181780,0.068505,2,0.020000
000109,220607,043000,SELL,0.059219,0.012222,0.598874,0.033805,1.169725,0.069270,0,0.020000
000110,220608,004500,BUY,0.057843,0.011689,0.610562,0.033129,1.183304,0.068446,0,0.020000
000111,220608,053000,SELL,0.059295,0.012211,0.598351,0.033853,1.169279,0.069332,0,0.020000
000112,220610,181500,BUY,0.057793,0.011715,0.610066,0.033176,1.184117,0.068434,0,0.020000
000113,220611,103000,BUY,0.055712,0.011910,0.621976,0.032513,1.205560,0.067164,1,0.020000
000114,220611,104500,BUY,0.054500,0.011931,0.633908,0.031862,1.218538,0.066410,2,0.020000
000115,220611,171500,BUY,0.053326,0.011950,0.645858,0.031225,1.231409,0.065666,3,0.020000
000116,220612,171500,SELL,0.054499,0.012917,0.632940,0.031929,1.218805,0.066424,0,0.020000
000117,220613,024500,BUY,0.052733,0.012110,0.645050,0.031290,1.238426,0.065306,0,0.020000
000118,220613,093000,BUY,0.051472,0.012158,0.657208,0.030665,1.252963,0.064492,1,0.020000
000119,220613,104500,BUY,0.049917,0.012286,0.669495,0.030051,1.271522,0.063471,2,0.020000
000120,220613,111500,SELL,0.050954,0.013390,0.656105,0.030734,1.259269,0.064165,0,0.020000
000121,220613,154500,SELL,0.052311,0.013122,0.642983,0.031420,1.243623,0.065055,1,0.020000
000122,220613,221500,SELL,0.053821,0.012860,0.630123,0.032112,1.226771,0.066026,2,0.020000
000123,220614,040000,BUY,0.052487,0.012236,0.642359,0.031470,1.241935,0.065185,0,0.020000
000124,220614,074500,SELL,0.053944,0.012847,0.629512,0.032163,1.225741,0.066121,0,0.020000
000125,220614,174500,SELL,0.055163,0.012590,0.616922,0.032857,1.212566,0.066889,1,0.020000
000126,220614,211500,BUY,0.054005,0.012168,0.629090,0.032200,1.225338,0.066174,0,0.020000
000127,220615,080000,BUY,0.052771,0.012204,0.641294,0.031556,1.239280,0.065398,1,0.020000
000128,220615,101500,BUY,0.051672,0.012214,0.653508,0.030925,1.251999,0.064693,2,0.020000
000129,220615,110000,BUY,0.050564,0.012232,0.665740,0.030307,1.265113,0.063969,3,0.020000
000130,220615,123000,SELL,0.051909,0.013315,0.652425,0.030998,1.249583,0.064865,0,0.020000
000131,220615,203000,SELL,0.053911,0.013049,0.639377,0.031701,1.227408,0.066171,1,0.020000
000132,220615,233000,SELL,0.055112,0.012788,0.626589,0.032406,1.214593,0.066939,2,0.020000
000133,220616,063000,BUY,0.053986,0.012005,0.638595,0.031758,1.226857,0.066233,0,0.020000
000134,220616,121500,BUY,0.052662,0.012061,0.650656,0.031123,1.241647,0.065388,1,0.020000
000135,220618,201500,BUY,0.051593,0.012065,0.662720,0.030500,1.253892,0.064692,2,0.020000
000136,220618,230000,BUY,0.050421,0.012098,0.674819,0.029890,1.267634,0.063915,3,0.020000
000137,220619,004500,SELL,0.051660,0.013496,0.661322,0.030588,1.253416,0.064751,0,0.020000
000138,220619,121500,SELL,0.053596,0.013226,0.648096,0.031296,1.232028,0.066032,1,0.020000
000139,220619,204500,SELL,0.054876,0.012962,0.635134,0.032008,1.218408,0.066861,2,0.020000
000140,220620,041500,BUY,0.053595,0.011944,0.647078,0.031368,1.232349,0.066048,0,0.020000
000141,220620,103000,SELL,0.054709,0.012942,0.634137,0.032076,1.220431,0.066769,0,0.020000
000142,220622,054500,BUY,0.053613,0.011966,0.646102,0.031434,1.232417,0.066074,0,0.020000
