base_trade_pct,trigger_pct,max_trade_usd,min_trade_usd,multiplier,Market_Trend,Avg_Trading_Profit_USD,Avg_Hold_Profit_USD,Total_Months,Avg_Num_Trades,Profit_Diff
0.4,0.05,750,15,1.1,Bearish,-167.99,-154.27,7,32.0,-13.719999999999999
0.4,0.05,500,15,1.2,Bearish,-168.6,-154.27,7,32.0,-14.329999999999984
0.1,0.02,1000,15,1.1,Bearish,-168.89,-154.27,7,129.43,-14.619999999999976
0.1,0.02,1000,15,1.2,Bearish,-170.71,-154.27,7,128.86,-16.439999999999998
0.1,0.02,500,15,1.2,Bearish,-170.71,-154.27,7,128.86,-16.439999999999998
0.5,0.05,500,15,1.0,Bearish,-172.32,-154.27,7,32.0,-18.049999999999983
0.2,0.02,500,15,1.0,Bearish,-173.88,-154.27,7,129.29,-19.609999999999985
0.2,0.02,750,15,1.0,Bearish,-173.88,-154.27,7,129.29,-19.609999999999985
0.5,0.05,1000,15,1.1,Bearish,-174.52,-154.27,7,31.14,-20.25
0.5,0.05,500,15,1.1,Bearish,-174.52,-154.27,7,31.14,-20.25
0.5,0.05,750,15,1.1,Bearish,-174.52,-154.27,7,31.14,-20.25
0.2,0.02,1000,15,1.1,Bearish,-175.47,-154.27,7,129.14,-21.19999999999999
0.5,0.05,500,15,1.2,Bearish,-176.12,-154.27,7,31.0,-21.849999999999994
0.5,0.05,1000,15,1.2,Bearish,-176.12,-154.27,7,31.0,-21.849999999999994
0.5,0.05,750,15,1.2,Bearish,-176.12,-154.27,7,31.0,-21.849999999999994
0.2,0.02,1000,15,1.2,Bearish,-177.28,-154.27,7,128.29,-23.00999999999999
0.4,0.02,750,15,1.2,Bearish,-177.95,-154.27,7,124.86,-23.67999999999998
0.3,0.02,1000,15,1.2,Bearish,-177.97,-154.27,7,127.14,-23.69999999999999
0.3,0.02,500,15,1.2,Bearish,-177.97,-154.27,7,127.14,-23.69999999999999
0.3,0.02,500,15,1.0,Bearish,-178.77,-154.27,7,128.29,-24.5
0.3,0.02,1000,15,1.0,Bearish,-178.77,-154.27,7,128.29,-24.5
0.3,0.02,750,15,1.0,Bearish,-178.77,-154.27,7,128.29,-24.5
0.4,0.02,750,15,1.1,Bearish,-179.92,-154.27,7,126.43,-25.649999999999977
0.4,0.02,1000,15,1.1,Bearish,-179.92,-154.27,7,126.43,-25.649999999999977
0.5,0.02,500,15,1.2,Bearish,-180.7,-154.27,7,122.0,-26.42999999999998
0.5,0.02,1000,15,1.2,Bearish,-180.78,-154.27,7,122.0,-26.50999999999999
0.4,0.02,1000,15,1.0,Bearish,-181.8,-154.27,7,126.86,-27.53
0.4,0.02,500,15,1.0,Bearish,-181.8,-154.27,7,126.86,-27.53
0.5,0.02,750,15,1.1,Bearish,-183.83,-154.27,7,123.57,-29.560000000000002
0.5,0.02,1000,15,1.1,Bearish,-183.83,-154.27,7,123.57,-29.560000000000002
0.5,0.02,500,15,1.0,Bearish,-186.07,-154.27,7,124.71,-31.799999999999983
0.5,0.02,750,15,1.0,Bearish,-186.12,-154.27,7,124.71,-31.849999999999994
0.5,0.02,1000,15,1.0,Bearish,-186.12,-154.27,7,124.71,-31.849999999999994
0.1,0.2,500,15,1.0,Bullish,203.17,214.69,17,1.88,-11.52000000000001
0.1,0.2,500,15,1.1,Bullish,203.08,214.69,17,1.88,-11.609999999999985
0.1,0.2,500,15,1.2,Bullish,202.98,214.69,17,1.88,-11.710000000000008
0.1,0.2,750,15,1.2,Bullish,202.98,214.69,17,1.88,-11.710000000000008
0.1,0.1,1000,15,1.0,Bullish,195.42,214.69,17,6.18,-19.27000000000001
0.1,0.1,500,15,1.0,Bullish,195.42,214.69,17,6.18,-19.27000000000001
0.1,0.1,1000,15,1.1,Bullish,194.73,214.69,17,6.18,-19.960000000000008
0.1,0.1,500,15,1.1,Bullish,194.73,214.69,17,6.18,-19.960000000000008
0.1,0.1,500,15,1.2,Bullish,194.05,214.69,17,6.18,-20.639999999999986
