base_trade_percentage,trigger_percentage,max_trade_percentage,min_trade_percentage,multiplier,final_eth_balance,final_btc_balance,total_eth_value,total_btc_value,eth_performance_percent,btc_performance_percent,trade_count,starting_price,final_price,price_change_percent,trades_log_file
0.05,0.02,0.25,0.001,1,0.86712081,0.02595849,1.94156152,0.04690813,94.16,-41.12,931,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_05_tr0_02_max0_25_min0_001_mult1.csv
0.05,0.02,0.5,0.01,1,0.86712081,0.02595849,1.94156152,0.04690813,94.16,-41.12,931,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_05_tr0_02_max0_5_min0_01_mult1.csv
0.02,0.02,0.25,0.001,1,0.9312385,0.02425906,1.93533883,0.04675779,93.53,-41.31,931,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_02_tr0_02_max0_25_min0_001_mult1.csv
0.5,0.02,0.25,0.005,1,0.61743333,0.03171542,1.93015763,0.04663261,93.02,-41.47,927,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_5_tr0_02_max0_25_min0_005_mult1.csv
1.0,0.2,0.1,0.001,2,1.14773663,0.01876695,1.92451438,0.04649627,92.45,-41.64,12,0.079672,0.02416,-69.68,ETHBTC_trades_bt1_tr0_2_max0_1_min0_001_mult2.csv
0.5,0.2,0.1,0.005,5,1.14773663,0.01876695,1.92451438,0.04649627,92.45,-41.64,12,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_5_tr0_2_max0_1_min0_005_mult5.csv
0.05,0.2,0.5,0.001,5,1.77761891,0.00239324,1.8766767,0.04534051,87.67,-43.09,11,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_05_tr0_2_max0_5_min0_001_mult5.csv
0.05,0.2,0.5,0.005,5,1.77761891,0.00239324,1.8766767,0.04534051,87.67,-43.09,11,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_05_tr0_2_max0_5_min0_005_mult5.csv
0.5,0.1,0.25,0.01,2,0.50199182,0.03029296,1.75583943,0.04242108,75.58,-46.76,42,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_5_tr0_1_max0_25_min0_01_mult2.csv
0.5,0.2,0.25,0.01,5,1.20782268,0.0102987,1.63409343,0.0394797,63.41,-50.45,11,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_5_tr0_2_max0_25_min0_01_mult5.csv
0.5,0.1,0.1,0.005,5,1.11467737,0.01124091,1.57994677,0.03817151,57.99,-52.09,45,0.079672,0.02416,-69.68,ETHBTC_trades_bt0_5_tr0_1_max0_1_min0_005_mult5.csv
1.0,0.1,0.1,0.005,5,1.09684694,0.0110611,1.55467387,0.03756092,55.47,-52.86,44,0.079672,0.02416,-69.68,ETHBTC_trades_bt1_tr0_1_max0_1_min0_005_mult5.csv
1.0,0.1,0.1,0.001,5,1.09684694,0.0110611,1.55467387,0.03756092,55.47,-52.86,44,0.079672,0.02416,-69.68,ETHBTC_trades_bt1_tr0_1_max0_1_min0_001_mult5.csv
1.0,0.1,0.1,0.005,1,1.09684694,0.0110611,1.55467387,0.03756092,55.47,-52.86,44,0.079672,0.02416,-69.68,ETHBTC_trades_bt1_tr0_1_max0_1_min0_005_mult1.csv
1.0,0.02,0.5,0.001,1,0.7659197,0.01878801,1.54356914,0.03729263,54.36,-53.19,765,0.079672,0.02416,-69.68,ETHBTC_trades_bt1_tr0_02_max0_5_min0_001_mult1.csv
1.0,0.02,0.5,0.01,2,0.76590307,0.0187876,1.54353562,0.03729182,54.35,-53.19,765,0.079672,0.02416,-69.68,ETHBTC_trades_bt1_tr0_02_max0_5_min0_01_mult2.csv
1.0,0.02,0.5,0.001,5,0.76589596,0.01878743,1.54352128,0.03729147,54.35,-53.19,772,0.079672,0.02416,-69.68,ETHBTC_trades_bt1_tr0_02_max0_5_min0_001_mult5.csv
