base_trade_pct,trigger_pct,max_trade_usd,min_trade_usd,multiplier,Market_Trend,Avg_Trading_Profit_USD,Avg_Hold_Profit_USD,Total_Months,Avg_Num_Trades
0.15,0.04,250,15,1.1,Bullish,146.91,170.44,24,29.5
0.15,0.04,500,15,1.1,Bullish,146.91,170.44,24,29.5
0.2,0.03,250,15,1.05,Bullish,146.68,170.44,24,48.58
0.3,0.04,750,15,1.1,Bullish,146.41,170.44,24,29.38
0.15,0.025,750,15,1.2,Bullish,146.07,170.44,24,65.04
0.15,0.025,500,15,1.2,Bullish,146.07,170.44,24,65.04
0.15,0.03,250,15,1.15,Bullish,145.88,170.44,24,48.58
0.2,0.04,500,15,1.1,Bullish,145.77,170.44,24,29.46
0.3,0.03,500,15,1.05,Bullish,145.5,170.44,24,48.46
0.2,0.03,500,15,1.1,Bullish,145.48,170.44,24,48.54
0.2,0.03,750,15,1.1,Bullish,145.48,170.44,24,48.54
0.2,0.02,500,15,1.2,Bullish,145.12,170.44,24,93.79
0.25,0.03,250,15,1.1,Bullish,144.72,170.44,24,48.5
0.25,0.03,500,15,1.1,Bullish,144.69,170.44,24,48.5
0.15,0.02,500,15,1.2,Bullish,144.4,170.44,24,94.0
0.2,0.03,250,15,1.15,Bullish,144.35,170.44,24,48.54
0.2,0.03,500,15,1.15,Bullish,144.32,170.44,24,48.54
0.15,0.04,500,15,1.2,Bullish,143.87,170.44,24,29.46
0.2,0.03,250,15,1.2,Bullish,143.25,170.44,24,48.5
0.15,0.035,500,15,1.2,Bullish,142.37,170.44,24,36.33
0.2,0.035,750,15,1.15,Bullish,140.95,170.44,24,36.29
0.25,0.035,500,15,1.1,Bullish,140.06,170.44,24,36.25
0.25,0.035,500,15,1.1,Bullish,140.06,170.44,24,36.25
0.2,0.035,750,15,1.2,Bullish,139.68,170.44,24,36.25
0.3,0.035,500,15,1.05,Bullish,139.62,170.44,24,36.21
0.3,0.035,250,15,1.1,Bullish,137.67,170.44,24,36.08
0.3,0.04,750,15,1.1,Sideways,20.62,2.84,20,20.9
0.2,0.03,250,15,1.2,Sideways,20.07,2.84,20,32.8
0.15,0.04,500,15,1.2,Sideways,19.45,2.84,20,20.95
0.2,0.04,500,15,1.1,Sideways,19.44,2.84,20,20.95
0.2,0.03,250,15,1.15,Sideways,19.32,2.84,20,32.8
0.2,0.03,500,15,1.15,Sideways,19.32,2.84,20,32.8
0.15,0.03,250,15,1.15,Sideways,18.93,2.84,20,32.85
0.25,0.03,500,15,1.1,Sideways,18.74,2.84,20,32.8
0.25,0.03,250,15,1.1,Sideways,18.74,2.84,20,32.8
0.2,0.03,500,15,1.1,Sideways,18.71,2.84,20,32.85
0.2,0.03,750,15,1.1,Sideways,18.71,2.84,20,32.85
0.15,0.04,250,15,1.1,Sideways,18.58,2.84,20,20.95
0.15,0.04,500,15,1.1,Sideways,18.58,2.84,20,20.95
0.15,0.035,500,15,1.2,Sideways,18.5,2.84,20,26.25
0.2,0.035,750,15,1.2,Sideways,18.5,2.84,20,26.25
0.2,0.035,750,15,1.15,Sideways,18.18,2.84,20,26.25
0.15,0.03,250,15,1.1,Sideways,18.1,2.84,20,32.85
0.15,0.03,500,15,1.1,Sideways,18.1,2.84,20,32.85
0.15,0.03,500,15,1.1,Sideways,18.1,2.84,20,32.85
0.2,0.03,250,15,1.05,Sideways,17.91,2.84,20,32.85
0.3,0.03,500,15,1.05,Sideways,17.91,2.84,20,32.8
0.15,0.025,750,15,1.2,Sideways,17.82,2.84,20,45.65
0.15,0.025,500,15,1.2,Sideways,17.82,2.84,20,45.65
0.1,0.04,250,15,1.15,Sideways,17.7,2.84,20,20.95
0.25,0.035,500,15,1.1,Sideways,17.63,2.84,20,26.25
0.25,0.035,500,15,1.1,Sideways,17.63,2.84,20,26.25
0.15,0.02,500,15,1.2,Sideways,17.6,2.84,20,65.5
0.15,0.025,250,15,1.15,Sideways,17.28,2.84,20,45.65
0.3,0.035,250,15,1.1,Sideways,17.27,2.84,20,26.15
0.15,0.03,250,15,1.05,Sideways,17.21,2.84,20,32.85
