1690848000000,1855.81000000,1856.33000000,1854.54000000,1855.11000000,15.05140000,1690848899999,27922.49466700,19,2.04130000,3786.76827200,0
1690848900000,1855.83000000,1858.24000000,1855.72000000,1858.12000000,9.43040000,1690849799999,17511.83386400,17,0.61430000,1140.57442000,0
1690849800000,1858.95000000,1860.27000000,1858.92000000,1860.23000000,30.73520000,1690850699999,57154.09671900,34,2.67310000,4969.85628400,0
1690850700000,1860.41000000,1861.97000000,1860.31000000,1861.65000000,17.50870000,1690851599999,32580.51557400,20,0.88670000,1650.50796700,0
1690851600000,1861.96000000,1864.35000000,1861.56000000,1862.31000000,21.18870000,1690852499999,39467.41583800,41,3.31500000,6172.93726700,0
1690852500000,1861.94000000,1861.94000000,1857.71000000,1857.71000000,3.04920000,1690853399999,5669.53751100,17,2.28230000,4243.54362200,0
1690853400000,1857.53000000,1857.53000000,1855.06000000,1856.10000000,5.01040000,1690854299999,9300.68780700,26,2.04240000,3791.51401200,0
1690854300000,1856.58000000,1856.58000000,1851.60000000,1852.67000000,22.72800000,1690855199999,42155.87443200,37,18.71840000,34724.06402700,0
1690855200000,1853.21000000,1853.21000000,1814.08000000,1823.40000000,590.50640000,1690856099999,1081792.03776300,707,385.51920000,705428.48005300,0
1690856100000,1823.04000000,1828.50000000,1822.82000000,1826.83000000,66.69240000,1690856999999,121824.46568500,127,43.01380000,78584.53104200,0
1690857000000,1826.30000000,1830.59000000,1825.43000000,1829.96000000,49.81820000,1690857899999,91038.69662800,68,13.96830000,25527.55399300,0
1690857900000,1828.50000000,1829.36000000,1827.55000000,1828.25000000,9.01330000,1690858799999,16481.99581100,29,6.33570000,11585.94115700,0
1690858800000,1827.79000000,1829.04000000,1826.55000000,1828.49000000,61.15870000,1690859699999,111777.89680700,58,27.54580000,50341.44821300,0
1690859700000,1828.53000000,1828.53000000,1825.81000000,1826.22000000,21.29610000,1690860599999,38912.78157900,36,3.31520000,6056.67578300,0
1690860600000,1826.24000000,1827.40000000,1825.01000000,1825.88000000,18.94170000,1690861499999,34580.85929600,37,5.24920000,9583.62832800,0
1690861500000,1826.52000000,1827.00000000,1825.00000000,1826.22000000,83.23810000,1690862399999,151995.10255900,92,58.18250000,106249.75590000,0
1690862400000,1826.21000000,1826.21000000,1823.41000000,1823.71000000,16.26670000,1690863299999,29671.50953200,34,1.48950000,2716.91289100,0
1690863300000,1823.93000000,1824.76000000,1820.68000000,1823.11000000,49.05450000,1690864199999,89423.59798700,100,22.43620000,40894.89323100,0
1690864200000,1823.11000000,1826.70000000,1822.33000000,1826.11000000,15.57060000,1690865099999,28413.62347600,30,3.51340000,6412.86929600,0
1690865100000,1825.72000000,1826.40000000,1824.77000000,1824.84000000,35.12160000,1690865999999,64121.45692500,52,3.23000000,5896.30852700,0
1690866000000,1824.46000000,1825.98000000,1824.30000000,1824.73000000,23.69530000,1690866899999,43248.25634400,36,10.02100000,18290.09225700,0
1690866900000,1824.69000000,1826.17000000,1824.69000000,1825.77000000,15.06800000,1690867799999,27510.11886600,25,6.14380000,11217.68853800,0
1690867800000,1825.84000000,1827.77000000,1825.14000000,1827.77000000,11.26220000,1690868699999,20566.87405200,40,3.68020000,6722.65564300,0
1690868700000,1827.91000000,1829.48000000,1827.43000000,1829.41000000,8.05480000,1690869599999,14728.70171700,28,3.52330000,6441.19244200,0
1690869600000,1829.40000000,1829.63000000,1827.52000000,1829.63000000,61.82330000,1690870499999,113088.18324900,79,0.86930000,1589.11384100,0
1690870500000,1830.34000000,1831.21000000,1828.91000000,1831.21000000,123.24540000,1690871399999,225593.19516500,209,28.52370000,52199.31247900,0
1690871400000,1831.01000000,1835.28000000,1831.01000000,1832.98000000,54.54910000,1690872299999,100029.07817700,97,21.32620000,39105.80762400,0
1690872300000,1832.69000000,1832.81000000,1831.82000000,1831.82000000,10.85280000,1690873199999,19887.26933800,37,7.65090000,14020.35232700,0
1690873200000,1831.89000000,1832.08000000,1830.53000000,1831.21000000,9.06060000,1690874099999,16593.51411600,37,6.99890000,12818.07961200,0
1690874100000,1831.46000000,1832.06000000,1829.25000000,1832.06000000,17.55080000,1690874999999,32139.63726000,33,10.74950000,19686.20709500,0
1690875000000,1831.70000000,1833.49000000,1831.66000000,1833.49000000,3.21750000,1690875899999,5896.12133500,18,1.78970000,3278.67804500,0
1690875900000,1833.79000000,1834.53000000,1832.94000000,1833.61000000,14.84300000,1690876799999,27215.32711600,29,4.48400000,8222.34285400,0
1690876800000,1833.93000000,1834.81000000,1832.93000000,1833.06000000,63.76140000,1690877699999,116923.54779500,32,9.37250000,17183.92478100,0
1690877700000,1832.57000000,1836.14000000,1832.57000000,1835.66000000,5.25070000,1690878599999,9630.32292100,17,2.80480000,5141.72557900,0
1690878600000,1835.37000000,1836.25000000,1833.99000000,1834.02000000,51.87150000,1690879499999,95189.36431200,48,20.56140000,37728.83787900,0
1690879500000,1834.23000000,1836.56000000,1833.81000000,1836.56000000,9.22730000,1690880399999,16925.21824800,30,4.38970000,8051.09070900,0
1690880400000,1836.49000000,1836.49000000,1834.29000000,1834.53000000,34.39820000,1690881299999,63146.24691400,40,20.30490000,37271.26048700,0
1690881300000,1833.84000000,1833.92000000,1832.20000000,1832.66000000,20.01660000,1690882199999,36693.84490600,39,7.84250000,14373.63683100,0
1690882200000,1832.60000000,1833.20000000,1831.79000000,1832.22000000,11.34780000,1690883099999,20794.72994700,44,3.51340000,6438.67635900,0
